Customer Review,Emotion,word_count,cleaned_text,encoded_emotion
Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Happy,14,alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,2
"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Happy,10,barang bagus dan respon cepat harga bersaing dengan yg lain,2
"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Happy,9,barang bagus berfungsi dengan baik seler ramah pengiriman cepat,2
bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Happy,10,bagus sesuai harapan penjual nya juga ramah trimakasih pelapak,2
"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Happy,8,barang bagus pengemasan aman dapat berfungsi dengan baik,2
"barang bagus, seller ramah..",Happy,4,barang bagus seller ramah,2
mantap paten joss,Happy,3,mantap paten joss,2
"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Happy,10,works fine respon seller cepat barang berfungsi dengan baik recommended,2
barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Happy,24,barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantabbb,2
Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Happy,13,barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,2
"Pengiriman super cepat, barang bagus, recommended seller, thanks",Happy,8,pengiriman super cepat barang bagus recommended seller thanks,2
alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Happy,15,alhamdulillah barangnya udah nyampe d coba bagus semoga awet terima kasih seller kurir dan tokopedia,2
"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Happy,10,penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,2
"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Happy,18,alhamdulillah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik smoga rezekinya lancar terus,2
